year,gu,dong,dong_key,total_population,elderly_population,elderly_alone,elderly_ratio,elderly_alone_ratio,elderly_ratio_score,elderly_alone_score,IVI,IVI_rank,IVI_grade
2021,광진구,구의3동,광진구_구의3동,28891.0,4127.0,758,0.14284725346993873,0.18366852435182943,0.2763732582715173,0.28888943228835146,0.2826313452799344,357,E
2021,동대문구,용신동,동대문구_용신동,33055.0,5732.0,1973,0.17340795643624263,0.3442079553384508,0.4068220191384255,0.5413994649207232,0.4741107420295744,78,A
2021,동대문구,제기동,동대문구_제기동,26577.0,5787.0,1931,0.21774466644090756,0.3336789355451875,0.5960738464737143,0.5248385296087913,0.5604561880412529,29,A
2021,동대문구,전농1동,동대문구_전농1동,29699.0,5651.0,1852,0.19027576686083705,0.32772960537957885,0.47882248885446554,0.515480918553201,0.49715170370383327,59,A
2021,동대문구,전농2동,동대문구_전농2동,18876.0,3662.0,803,0.19400296673023945,0.2192790824685964,0.4947320903123553,0.3449007382762938,0.4198164142943246,144,B
2021,동대문구,답십리1동,동대문구_답십리1동,29373.0,4070.0,944,0.13856262554046234,0.23194103194103194,0.2580842678385351,0.3648165262844162,0.31145039706147565,312,D
2021,동대문구,답십리2동,동대문구_답십리2동,28595.0,5562.0,1306,0.1945095296380486,0.2348076231571377,0.4968943607188215,0.3693253440687701,0.4331098523937958,127,B
2021,동대문구,장안1동,동대문구_장안1동,38794.0,6516.0,1492,0.16796411816260245,0.22897483118477593,0.38358492416913736,0.3601510341672877,0.37186797916821257,228,C
2021,동대문구,장안2동,동대문구_장안2동,32791.0,5211.0,1209,0.15891555609770974,0.23200921128382268,0.34496101848561816,0.3649237645371441,0.35494239151138113,255,C
2021,동대문구,청량리동,동대문구_청량리동,19280.0,5226.0,1849,0.27105809128630703,0.3538078836586299,0.8236428986752159,0.5564990463662242,0.69007097252072,9,A
2021,동대문구,회기동,동대문구_회기동,12727.0,1549.0,456,0.12170975092323406,0.29438347320852165,0.18614755181185258,0.46303129374184393,0.32458942277684827,298,D
2021,동대문구,휘경1동,동대문구_휘경1동,16105.0,2106.0,500,0.13076684259546725,0.23741690408357075,0.22480786623601734,0.37342944240667647,0.2991186543213469,335,D
2021,동대문구,휘경2동,동대문구_휘경2동,24847.0,3992.0,908,0.16066325914597335,0.22745490981963928,0.3524211118368962,0.3577603729375162,0.35509074238720617,254,C
2021,동대문구,이문1동,동대문구_이문1동,20870.0,3157.0,831,0.15126976521322472,0.26322458029775103,0.312324859957842,0.4140219443419264,0.3631734021498842,241,C
2021,동대문구,이문2동,동대문구_이문2동,20417.0,3990.0,986,0.1954253808101092,0.24711779448621554,0.5008036834417163,0.3886878255782167,0.4447457545099665,114,B
2021,중랑구,면목2동,중랑구_면목2동,24405.0,4566.0,1455,0.18709280885064536,0.31865965834428384,0.4652359909005828,0.5012149366210294,0.4832254637608061,68,A
